,Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
0,VNPV-3958,Rượu Champagne Bottega Stardust Prosecco,3563000.0,Ý,11.0,750.0,Glera,vàng rơm nhạt,Rượu Champagne,Bottega,Veneto
1,VNPV-9463,Rượu Champagne Carbon F1,8517000.0,Pháp,12.0,750.0,"Chardonnay,Pinot meunier,Pinot Noir",trắng,Rượu Champagne,Delamotte,Champagne
2,VNPV1-1823,Rượu Champagne Charles Mignon Premium Reserve,1641000.0,Pháp,13.5,750.0,"Chardonnay,Pinot meunier,Pinot Noir",vàng,Rượu Champagne,Charles Mignon,Champagne
3,VNPV-836,Rượu Champagne De Castellane Brut,753000.0,Pháp,11.0,375.0,Chardonnay,xanh nhạt,Rượu Champagne,De Castellane,Champagne
4,VNPV-4233,Rượu Champagne Delamotte Blanc De Blancs,3810000.0,Pháp,12.5,750.0,Chardonnay,trắng trong,Rượu Champagne,Delamotte,Champagne
5,VNPV-1956,Rượu Champagne Delamotte Brut,1761000.0,Pháp,12.0,750.0,Chardonnay,vàng,Rượu Champagne,Delamotte,Champagne
6,VNPV-3667,Rượu Champagne Delamotte Rose,2956000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir,Pinot Meunier",hồng,Rượu Champagne,Delamotte,Champagne
7,VNPV-1976,Rượu Champagne Duval Leroy Thierry Drapeau,1779000.0,Pháp,12.5,750.0,Chardonnay,vàng,Rượu Champagne,Champagne Duval Leroy,Champagne
8,VNTK3-480,Rượu Champagne JP Chenet Brut Blanc,480000.0,Pháp,13.0,750.0,Chardonnay,đỏ đậm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
9,VNBMF-744,Rượu Champagne JP Chenet Divine Chardonnay,750000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
10,VNTK-480,Rượu Champagne JP Chenet Ice Edition White,480000.0,Pháp,11.0,750.0,Chardonnay,vàng rơm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
11,VNQW-1397,Rượu Champagne Philippe Fourrier,1397000.0,Pháp,12.5,750.0,"Pinot Noir,Pinot Meunier,Chardonnay",vàng chanh,Champagne,Philippe Fourrier,Champagne
12,VNMH4-1490,Rượu Champagne Piper Heidsieck Brut,1490000.0,Pháp,12.0,750.0,"Pinot Noir,Meunier,Chardonnay",vàng kim,Rượu Champagne,Piper Heidsieck,Reims – Champagne
13,VNMH-39000,Rượu Champagne Rare Le Secret,39000000.0,Pháp,12.0,1500.0,"Chardonnay,Pinot Noir",vàng rơm,Rượu Champagne,Piper Heidsieck,Champagne
14,VNMH-6560,Rượu Champagne Rare Milésimé Piper Heidsieck,5500000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir",vàng ánh xanh,Rượu Champagne,Piper Heidsieck,Reims – Champagne
15,VNMH-9450,Rượu Champagne Rare Rosé Millésimé Brut,9450000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir",hồng nhạt,Rượu Champagne,Champagne Piper Heidsieck,Reims – Champagne
16,VNTH1-2800,Rượu Champagne Victoire Rose,2800000.0,Pháp,12.0,750.0,"Pinot Noir,Pinot Meunier,Chardonnay",hồng nhạt,Rượu Champagne,Delamotte,Champagne
17,VNPV1-3532,Rượu Champagne Vouette Et Sorbee Fidele,3179000.0,Pháp,12.5,750.0,Chardonnay,vàng,Rượu Champagne,Vouette et Sorbee,Champagne
18,VNPV-864,Rượu Sâm Banh Anna De Codorniu,778000.0,Tây Ban Nha,11.5,750.0,Chardonnay,trắng,Sâm banh,Villa Conchi,Cava
19,VNPV1-864,Rượu Sâm Banh ANNA De Codorniu Brut Rose,778000.0,Tây Ban Nha,12.0,750.0,Pinot Noir,hồng,Sâm banh,Villa Conchi,Cava
20,VNDL-1246,Rượu Sâm Banh Bisol Cru Cartizze Prosecco Dry,1119000.0,Ý,11.5,750.0,Glera,vàng nhạt ánh xanh,Rượu Sâm Banh,Bisol,Conegliano – Valdobbiadene Prosecco
21,VNPV-226,Rượu Sâm Banh Bottega Gold 200 ML,204000.0,Ý,11.0,200.0,Glera,vàng rơm nhạt,Rượu Sâm Banh,Bottega,Veneto
22,VNPV-580,Rượu Sâm Banh Codorniu Clasico Rosado Sparkling Brut,522000.0,Tây Ban Nha,12.0,750.0,"Monastrell,Grenache",sủi bọt hồng,Sâm banh,Villa Conchi,Cava
