Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
WVN-9400,Rượu Champagne Armand De Brignac Blanc,9.400.000,"Pháp
","12.5 %
","750 ML
",Chardonnay, Màu trắng,Rượu Champagne,Armand De Brignac,
VNHM-1350,Rượu Champagne Arnaud Tabourin,1.350.000,"Pháp
","12 %
","750 ML
",Chardonnay, ,Rượu Champagne,Arnaud Tabourin,
VNHM1-1750,Rượu Champagne Autreau Brut Premier Cru,1.750.000,"Pháp
","12 %
","750 ML
",Chardonnay,,Rượu Vang Trắng,,Champagne
VNHM1-1850,Rượu Champagne Autreau Reserve Brut Grand Cru,1.850.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Nero", ,Rượu Champagne,Autreau,
VNTK1-2760,Rượu Champagne Ayala Blanc De Blancs,2.760.000,"Pháp
","12 %
","750 ML
",Chardonnay,Vàng nhạt,Rượu Champagne,: Ayala,
VNTK-2294,Rượu Champagne Ayala Brut Majeur,2.294.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Vàng rơm,Rượu Champagne,: Ayala,
VNTK-2734,Rượu Champagne Ayala Brut Nature,2.734.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Vàng rơm,Rượu Champagne,: Ayala,
VNPE-1250,Rượu Champagne Bernard Lonclas Blanc,1.250.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Pinot Meunieur,Chardonnay", Vàng rơm,Rượu Champagne,,
VNWH1-4200,Rượu Champagne Billecart Salmon Blanc De Blancs,2.709.000,"Pháp
","12.5 %
","750 ML
",Chardnonnay,,Champagne, Champagne Billecart,
VNWH1-2750,Rượu Champagne Billecart Salmon Brut Réserve,1.895.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng rơm,Champagne, Champagne Billecart,
VNWH-3900,Rượu Champagne Billecart Salmon Brut Sous Bois,3.900.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng rơm,Champagne, Champagne Billecart,
VNDL-552,Rượu Champagne Bisol BelStar Cuvee Rose,495.000,"Ý
","11.5 %
","750 ML
","Merlot,Pinot Nero",,Rượu Vang Nổ, Bisol,Veneto 
VNTK1-3867,Rượu Champagne Bollinger La Cote Aux Enfants,3.867.000,"Pháp
","12.5 %
","750 ML
",Pinot Noir,,Rượu Champagne,Bollinger,
VNTK-4920,Rượu Champagne Bollinger La Grande Année,4.920.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",Vàng nhạt,Rượu Champagne,Bollinger,
VNTK-5960,Rượu Champagne Bollinger La Grande Année Rose,5.960.000,"Pháp
","14 %
","750 ML
","Pinot Noir,Chardonnay,Pinot Meunier",,Rượu Champagne,Bollinger,
VNTK-3880,Rượu Champagne Bollinger Rose,3.880.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,Bollinger,
VNTK-4134,Rượu Champagne Bollinger Rose Limited 2006,4.134.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,Bollinger,
VNTK-3294,Rượu Champagne Bollinger Special Cuvee,3.294.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",Vàng nhạt,Rượu Champagne,Bollinger,
VNPV-3958,Rượu Champagne Bottega Stardust Prosecco,3.563.000,"Ý
","11 %
","750 ML
",Glera, Màu vàng rơm nhạt,Rượu Champagne,Bottega,Veneto
VNPV - 11,Rượu Champagne Bottega Stella,1,"Ý
","11 %
","750 ML
","
", Vàng Rơm,Rượu Vang Nổ,Bottega,Veneto
VNTL-1528,Rượu Champagne Canard Duchene Brut,1.290.000,"Pháp
","12 %
","750 ML
","Pinot Meunier,Pinot Noir,Chardonnay", Màu vàng rơm,Rượu Champagne,Champagne Canard Duchene,
VNTL-1890,Rượu Champagne Canard Duchene Charles VII Blanc De Blanc,1.890.000,"Pháp
","12 %
","750 ML
",Chardonnay, Màu vàng nhạt,Rượu Champagne,Champagne Canard Duchene,
VNTL1-1890,Rượu Champagne Canard Duchene Charles VII Blanc De Noirs,1.750.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Pinot Meunier", Màu vàng óng,Rượu Champagne,Champagne Canard Duchene,
VNTL-2149,Rượu Champagne Canard Duchene Charles VII Smooth Rose,1.750.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu hồng nhạt,Rượu Champagne, ,
VNTL2-1528,Rượu Champagne Canard Duchene Cuvee Leonie,1.410.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meumier", Màu vàng nhạt,Rượu Champagne,Champagne Canard Duchene,
VNTL1-1528,Rượu Champagne Canard Duchene Demi Sec,1.290.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meuneir", Màu vàng nhạt,Rượu Champagne,Champagne Canard Duchene,
VNPV-9463,Rượu Champagne Carbon F1,8.517.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot meunier,Pinot Noir",Màu trắng,Rượu Champagne,,Champagne
VNDL-1453,Rượu Champagne Charles De Cazanove Brut Rose,1.439.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", ,Rượu Champagne,: Charles de Cazanove,
VNDL-1265,Rượu Champagne Charles De Cazanove Brut Tete De Cuvee,1.099.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Pinot Meunier,Chardonnay", Vàng nhạt,Rượu Champagne,: Charles De Cazanove,
VNMH-2300,Rượu Champagne Charles Heidsieck Blanc De Blancs,2.300.000,"Pháp
","12 %
","750 ML
",Chardonnay, Vàng nhạt,Rượu Champagne,Champagne Charles Heidsieck,
VNMH2-6000,Rượu Champagne Charles Heidsieck Blanc Des Millénaires,6.000.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Champagne,Champagne Charles Heidsieck,
